Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
overweight,male,omnivore,more frequently,electricity,walk/bicycle,,sometimes,241,frequently,17,small,4,20,3,6,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",165.3
normal,male,vegan,twice a day,electricity,walk/bicycle,,never,151,very frequently,51,small,5,1,12,11,No,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",199.7
overweight,male,vegetarian,more frequently,natural gas,private,lpg,often,91,very frequently,8722,large,6,4,34,12,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave']",596.4
overweight,male,vegetarian,twice a day,natural gas,private,lpg,never,194,never,3972,medium,7,1,9,23,Yes,['Metal'],"['Stove', 'Oven']",268
obese,female,omnivore,less frequently,electricity,walk/bicycle,,often,158,frequently,51,extra large,1,14,4,3,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",155.9
obese,male,omnivore,twice a day,natural gas,walk/bicycle,,never,281,rarely,27,small,3,5,46,4,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",213.7
underweight,female,omnivore,daily,natural gas,private,lpg,sometimes,205,never,503,small,3,9,39,16,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",123.2
overweight,female,vegetarian,twice a day,wood,public,,often,135,never,362,medium,2,16,18,21,Yes,['Metal'],"['Stove', 'Grill', 'Airfryer']",121.8
overweight,male,vegan,less frequently,coal,walk/bicycle,,often,200,never,62,extra large,7,20,20,20,Yes,"['Paper', 'Plastic', 'Metal']",[],221.8
normal,male,omnivore,daily,wood,private,lpg,often,195,never,9232,extra large,6,20,42,18,Sometimes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",506.4
obese,female,vegan,less frequently,natural gas,private,lpg,often,59,rarely,3233,medium,4,15,31,3,Sometimes,[],"['Stove', 'Grill', 'Airfryer']",263.3
obese,male,vegetarian,twice a day,wood,private,lpg,sometimes,145,very frequently,6659,extra large,2,20,25,15,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",550.2
obese,female,omnivore,twice a day,wood,walk/bicycle,,often,156,frequently,86,extra large,7,10,50,4,No,"['Paper', 'Glass', 'Metal']",['Microwave'],296
normal,female,pescatarian,daily,electricity,walk/bicycle,,often,262,rarely,85,extra large,1,11,23,14,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",115.6
normal,male,vegan,less frequently,natural gas,public,,sometimes,121,frequently,1405,extra large,4,10,24,13,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],187.7
overweight,female,omnivore,twice a day,wood,walk/bicycle,,sometimes,233,rarely,5,extra large,4,10,43,21,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",218.4
underweight,female,vegetarian,twice a day,coal,walk/bicycle,,never,225,rarely,12,large,1,18,5,16,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",100.9
overweight,male,omnivore,twice a day,natural gas,public,,never,112,rarely,459,small,4,5,46,12,Sometimes,['Glass'],['Stove'],196.5
overweight,male,vegetarian,more frequently,electricity,public,,sometimes,130,never,1748,small,3,16,37,1,Sometimes,"['Glass', 'Metal']",['Oven'],109.8
obese,female,omnivore,more frequently,wood,walk/bicycle,,never,56,rarely,70,extra large,2,9,9,12,Yes,['Metal'],"['Oven', 'Microwave']",115.2
overweight,male,vegan,more frequently,natural gas,private,hybrid,often,146,very frequently,2054,small,1,13,7,12,Yes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",275.1
underweight,male,omnivore,less frequently,wood,private,electric,often,284,frequently,5095,medium,4,21,9,2,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],167.4
normal,female,vegetarian,daily,natural gas,private,electric,never,239,rarely,3850,large,5,21,45,18,No,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",196.1
underweight,female,vegan,more frequently,wood,public,,never,287,rarely,1013,large,7,3,9,16,Sometimes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",144.7
overweight,female,omnivore,twice a day,coal,walk/bicycle,,sometimes,52,rarely,92,extra large,7,3,12,9,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",181.1
underweight,male,omnivore,daily,electricity,walk/bicycle,,sometimes,83,very frequently,4,extra large,4,7,4,24,Sometimes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",247.6
underweight,male,vegan,less frequently,coal,public,,sometimes,193,very frequently,894,medium,2,23,30,24,No,"['Paper', 'Plastic', 'Metal']",['Oven'],263.7
obese,male,vegetarian,daily,coal,public,,sometimes,268,frequently,1393,extra large,7,6,30,23,No,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",373.8
obese,male,omnivore,daily,coal,private,petrol,often,90,rarely,6239,medium,3,10,28,8,Yes,"['Glass', 'Metal']","['Stove', 'Oven']",472.3
obese,male,omnivore,daily,wood,private,petrol,sometimes,146,frequently,5278,small,6,2,33,7,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",510.6
normal,male,pescatarian,less frequently,natural gas,private,hybrid,never,251,never,125,small,4,22,28,5,No,"['Plastic', 'Glass']","['Stove', 'Microwave']",126.8
overweight,female,vegan,more frequently,wood,public,,never,181,never,1306,extra large,7,21,47,1,Sometimes,"['Plastic', 'Glass']",['Stove'],213.5
underweight,female,vegetarian,twice a day,electricity,private,electric,never,55,very frequently,4458,extra large,5,0,50,5,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",231
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,often,247,rarely,49,extra large,5,7,11,2,No,['Metal'],"['Stove', 'Oven']",168.4
overweight,male,vegan,twice a day,electricity,public,,never,249,frequently,324,medium,2,2,36,20,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",194.1
obese,female,pescatarian,twice a day,electricity,private,electric,sometimes,79,frequently,9384,large,2,23,38,6,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",186.1
underweight,male,pescatarian,twice a day,natural gas,walk/bicycle,,often,253,never,34,large,5,2,50,21,Sometimes,"['Paper', 'Glass']",['Oven'],196.4
overweight,male,pescatarian,daily,wood,private,hybrid,often,239,rarely,8101,large,3,12,27,18,Yes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",339.7
obese,male,omnivore,daily,coal,public,,often,146,rarely,422,extra large,4,17,37,21,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",271.7
underweight,male,vegan,more frequently,natural gas,walk/bicycle,,never,172,rarely,73,small,3,20,14,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],69.8
normal,male,vegan,daily,wood,private,diesel,never,120,very frequently,463,extra large,2,1,44,1,No,[],"['Oven', 'Microwave']",292.9
overweight,female,pescatarian,twice a day,electricity,private,diesel,often,216,very frequently,8107,large,6,10,34,12,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",469.3
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,85,very frequently,62,large,3,7,42,0,Sometimes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",261.8
overweight,female,pescatarian,more frequently,coal,public,,often,105,rarely,955,medium,6,15,32,22,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],203.2
obese,female,omnivore,less frequently,wood,private,lpg,often,205,very frequently,3470,medium,4,17,46,16,Yes,[],['Oven'],437.8
underweight,male,vegetarian,more frequently,coal,walk/bicycle,,sometimes,228,frequently,1,small,3,24,19,3,No,['Plastic'],['Microwave'],197.8
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,never,82,very frequently,96,medium,1,2,7,22,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",182.1
underweight,male,vegan,less frequently,coal,walk/bicycle,,never,271,frequently,72,large,2,14,29,15,Sometimes,[],[],211.4
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,sometimes,269,rarely,50,medium,4,7,29,3,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",143
obese,female,omnivore,daily,natural gas,walk/bicycle,,often,246,rarely,94,large,5,19,8,0,Yes,['Metal'],"['Stove', 'Oven', 'Microwave']",187.9
overweight,female,omnivore,more frequently,electricity,walk/bicycle,,often,115,never,0,large,5,22,26,23,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",136.5
underweight,female,vegan,more frequently,electricity,walk/bicycle,,sometimes,260,frequently,85,medium,7,16,44,24,Sometimes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",178.6
normal,male,pescatarian,less frequently,wood,public,,sometimes,189,rarely,714,large,1,22,41,16,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",165.7
underweight,male,vegetarian,daily,natural gas,public,,never,152,never,1047,extra large,6,11,21,5,Yes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",143.4
overweight,male,omnivore,daily,electricity,public,,sometimes,226,very frequently,1276,large,5,8,14,4,No,"['Paper', 'Plastic', 'Metal']",['Stove'],273.8
obese,male,vegan,less frequently,electricity,private,hybrid,sometimes,87,very frequently,7656,extra large,5,0,36,4,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven']",463.3
overweight,female,omnivore,twice a day,natural gas,public,,sometimes,82,very frequently,302,large,5,2,31,10,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",280.8
normal,female,omnivore,twice a day,coal,walk/bicycle,,sometimes,96,rarely,76,medium,5,8,46,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",160.9
overweight,male,pescatarian,more frequently,wood,public,,often,230,frequently,1693,extra large,6,8,0,10,No,"['Plastic', 'Metal']","['Stove', 'Oven']",262.6
obese,male,vegetarian,more frequently,natural gas,walk/bicycle,,often,198,never,6,medium,6,18,34,1,Yes,['Paper'],['Oven'],190.8
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,sometimes,134,very frequently,4,large,6,4,36,18,Yes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",313.1
overweight,male,omnivore,daily,electricity,public,,sometimes,244,frequently,883,medium,2,0,36,10,Yes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",225.5
normal,female,pescatarian,less frequently,natural gas,public,,sometimes,151,rarely,1202,small,3,9,0,4,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",78.3
underweight,male,pescatarian,daily,natural gas,private,lpg,never,73,never,1536,extra large,5,23,1,0,Sometimes,['Metal'],['Microwave'],151.8
normal,male,omnivore,twice a day,electricity,walk/bicycle,,often,135,rarely,47,extra large,6,16,24,0,Yes,"['Glass', 'Metal']",['Microwave'],169.2
obese,male,vegan,twice a day,coal,public,,sometimes,119,very frequently,541,medium,7,3,34,5,No,['Plastic'],"['Stove', 'Oven', 'Microwave']",403.8
normal,male,vegan,twice a day,coal,walk/bicycle,,never,117,never,92,medium,1,18,40,8,Yes,['Glass'],['Stove'],141.7
underweight,female,pescatarian,more frequently,electricity,private,lpg,sometimes,268,very frequently,3183,small,4,15,7,5,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",250.9
normal,female,vegan,more frequently,electricity,private,electric,never,93,rarely,6192,large,5,6,26,21,Yes,"['Paper', 'Metal']",['Microwave'],110.3
obese,female,pescatarian,less frequently,coal,walk/bicycle,,often,276,very frequently,68,large,3,15,0,13,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",258
obese,female,pescatarian,less frequently,coal,public,,often,94,rarely,1688,small,4,22,22,22,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",191.4
normal,female,omnivore,more frequently,wood,private,hybrid,never,197,rarely,11,small,3,9,1,11,No,"['Paper', 'Plastic', 'Glass', 'Metal']",[],75.1
obese,male,pescatarian,more frequently,electricity,private,lpg,never,162,rarely,2119,large,2,3,29,11,Sometimes,[],"['Stove', 'Oven', 'Microwave']",236.6
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,never,101,never,75,small,4,20,16,12,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],75.8
overweight,male,vegan,less frequently,coal,private,hybrid,never,92,rarely,2180,small,4,4,3,14,Yes,[],"['Oven', 'Microwave']",178.1
overweight,female,vegetarian,twice a day,wood,private,petrol,often,62,very frequently,8931,large,4,3,28,24,Yes,"['Paper', 'Metal']",['Microwave'],551.7
obese,female,pescatarian,more frequently,coal,public,,often,228,never,1490,medium,6,11,33,19,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",219.9
normal,male,pescatarian,less frequently,wood,public,,never,130,rarely,272,medium,2,17,22,2,Sometimes,['Metal'],['Oven'],120.4
underweight,male,vegan,less frequently,coal,private,petrol,often,205,very frequently,5095,extra large,2,10,0,14,Yes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",432
overweight,male,vegetarian,less frequently,coal,public,,often,278,rarely,1388,small,5,22,3,7,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",162.2
normal,female,omnivore,twice a day,electricity,public,,never,153,never,1993,large,6,8,35,8,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",134.7
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,often,179,frequently,23,medium,7,1,32,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",189.9
overweight,male,vegan,less frequently,coal,public,,never,161,rarely,1785,medium,6,6,29,14,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",187
obese,female,omnivore,daily,natural gas,private,electric,often,173,rarely,7557,medium,4,4,13,19,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",148.9
overweight,female,vegan,daily,wood,walk/bicycle,,sometimes,188,very frequently,27,medium,3,9,11,14,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",221
underweight,male,omnivore,daily,coal,public,,sometimes,176,very frequently,1801,small,2,15,39,4,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",274.9
obese,male,omnivore,twice a day,electricity,public,,sometimes,177,very frequently,1766,medium,2,14,2,2,No,[],"['Stove', 'Microwave']",286.1
normal,male,vegetarian,twice a day,electricity,walk/bicycle,,often,70,very frequently,79,large,7,13,7,17,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",243.8
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,often,158,frequently,22,small,4,9,9,20,No,['Paper'],"['Stove', 'Oven']",187.2
obese,female,pescatarian,daily,wood,public,,never,106,rarely,1928,extra large,6,13,29,18,No,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",200.1
overweight,female,vegan,twice a day,wood,walk/bicycle,,often,105,rarely,50,large,6,3,13,6,No,['Plastic'],['Microwave'],157.3
normal,female,pescatarian,daily,natural gas,private,hybrid,sometimes,100,very frequently,3162,extra large,3,16,27,23,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",277.3
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,often,185,rarely,81,medium,5,16,22,23,Sometimes,"['Paper', 'Glass']",['Stove'],176.5
obese,female,omnivore,more frequently,electricity,walk/bicycle,,sometimes,297,frequently,69,large,3,6,0,22,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",177.6
obese,male,pescatarian,less frequently,natural gas,private,electric,sometimes,102,never,1919,extra large,3,2,46,23,Sometimes,['Plastic'],"['Stove', 'Microwave']",225.3
overweight,male,vegan,daily,coal,walk/bicycle,,sometimes,220,very frequently,69,extra large,5,18,23,8,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",349.8
overweight,female,pescatarian,twice a day,natural gas,public,,often,143,frequently,819,large,4,8,20,15,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",201
obese,male,pescatarian,twice a day,coal,walk/bicycle,,never,208,frequently,6,medium,6,12,1,19,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",229.9
obese,female,pescatarian,daily,natural gas,walk/bicycle,,often,106,frequently,92,large,7,14,14,20,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",277.4
obese,male,pescatarian,daily,coal,walk/bicycle,,often,60,never,13,medium,3,22,31,13,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",175.5
obese,male,pescatarian,more frequently,natural gas,walk/bicycle,,often,76,frequently,69,medium,3,19,38,7,No,['Plastic'],"['Grill', 'Airfryer']",257.1
obese,female,omnivore,less frequently,natural gas,public,,never,233,rarely,1024,extra large,2,14,2,14,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",154.8
underweight,female,omnivore,more frequently,coal,public,,never,185,frequently,408,extra large,7,3,38,0,No,['Metal'],['Oven'],253.8
normal,female,pescatarian,less frequently,electricity,public,,often,297,never,1319,extra large,3,17,20,13,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",128.1
obese,female,omnivore,twice a day,natural gas,private,lpg,sometimes,202,never,7598,small,5,19,44,6,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",359
obese,male,pescatarian,more frequently,wood,public,,never,257,very frequently,1062,large,4,19,12,11,No,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",332
normal,female,vegetarian,less frequently,coal,walk/bicycle,,never,272,never,12,large,1,4,7,1,No,"['Paper', 'Metal']","['Stove', 'Oven']",73.8
obese,male,omnivore,daily,natural gas,walk/bicycle,,never,274,very frequently,19,small,7,19,6,2,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",314.7
overweight,male,pescatarian,twice a day,natural gas,public,,often,148,frequently,1004,medium,1,13,45,19,Yes,['Glass'],"['Stove', 'Grill', 'Airfryer']",246.1
normal,female,vegetarian,less frequently,wood,private,diesel,sometimes,178,rarely,7363,medium,1,11,48,1,Yes,[],"['Stove', 'Oven']",302.9
normal,male,vegetarian,twice a day,wood,walk/bicycle,,sometimes,258,rarely,68,medium,1,5,40,20,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",173.9
underweight,male,omnivore,less frequently,electricity,walk/bicycle,,never,263,rarely,55,extra large,6,17,17,3,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave']",162.1
underweight,male,vegan,less frequently,coal,public,,often,193,rarely,1785,medium,1,5,34,21,Sometimes,['Glass'],['Microwave'],176.9
underweight,male,vegetarian,less frequently,electricity,public,,sometimes,98,never,376,extra large,5,17,17,18,Sometimes,"['Plastic', 'Glass', 'Metal']",[],115.1
obese,female,vegetarian,less frequently,electricity,public,,often,292,very frequently,1516,extra large,6,18,27,10,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",318
underweight,female,vegetarian,daily,wood,walk/bicycle,,often,105,rarely,65,large,6,3,3,0,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",106.5
overweight,male,omnivore,twice a day,coal,walk/bicycle,,often,227,never,20,medium,2,22,36,9,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",228
obese,male,vegan,daily,electricity,walk/bicycle,,often,136,frequently,98,extra large,5,24,8,22,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",241
normal,male,vegetarian,more frequently,coal,private,hybrid,never,50,never,288,large,2,8,21,14,Yes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",104.2
overweight,female,vegetarian,twice a day,electricity,private,hybrid,never,116,rarely,4998,large,4,3,43,5,Yes,[],"['Oven', 'Grill', 'Airfryer']",238.6
normal,male,vegetarian,more frequently,electricity,private,diesel,never,91,rarely,1340,medium,2,24,26,7,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",141.4
normal,female,pescatarian,twice a day,coal,public,,sometimes,202,never,1507,small,3,24,12,10,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",102.4
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,114,frequently,38,extra large,2,8,33,5,No,['Paper'],"['Oven', 'Microwave']",169.4
overweight,male,vegan,less frequently,electricity,private,hybrid,never,240,rarely,9798,large,6,1,27,11,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",317
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,often,155,rarely,40,large,6,20,46,13,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",183.3
obese,female,vegan,less frequently,natural gas,walk/bicycle,,never,267,very frequently,19,extra large,4,21,33,10,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",291.2
overweight,female,vegetarian,more frequently,coal,public,,often,110,never,1386,extra large,7,19,45,13,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",232.7
underweight,female,omnivore,daily,natural gas,walk/bicycle,,often,191,very frequently,71,small,7,8,4,16,Sometimes,['Glass'],['Stove'],212.4
obese,male,vegan,more frequently,natural gas,public,,often,69,never,1767,large,3,12,8,16,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",148.3
obese,female,pescatarian,more frequently,wood,walk/bicycle,,never,289,frequently,24,medium,3,6,20,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",191.3
underweight,female,vegetarian,less frequently,natural gas,private,diesel,often,57,frequently,1658,large,3,18,44,15,Yes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",222.8
obese,male,vegan,less frequently,natural gas,walk/bicycle,,sometimes,285,never,1,medium,7,23,49,23,No,"['Glass', 'Metal']","['Stove', 'Oven']",228.3
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,never,272,very frequently,55,large,5,19,6,12,No,"['Paper', 'Plastic']","['Stove', 'Oven']",294.5
underweight,female,vegetarian,twice a day,natural gas,private,lpg,never,87,frequently,5964,extra large,4,2,37,9,Sometimes,[],['Microwave'],317.6
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,never,92,never,28,extra large,1,13,39,21,Sometimes,"['Paper', 'Plastic']",['Oven'],123.6
normal,female,vegetarian,daily,wood,private,hybrid,sometimes,266,frequently,7304,large,3,3,40,3,Sometimes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",269.3
normal,male,omnivore,less frequently,coal,walk/bicycle,,often,234,frequently,28,medium,1,2,16,10,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven'],180.9
normal,male,vegan,less frequently,natural gas,walk/bicycle,,sometimes,89,very frequently,24,medium,3,20,0,21,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",205.5
overweight,female,vegetarian,twice a day,electricity,public,,often,279,frequently,658,extra large,1,10,5,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",132
normal,male,vegetarian,daily,coal,walk/bicycle,,never,278,rarely,34,medium,3,20,0,16,Yes,['Metal'],"['Stove', 'Oven']",134.4
obese,male,pescatarian,twice a day,coal,walk/bicycle,,never,288,rarely,80,medium,1,15,3,23,No,"['Paper', 'Plastic', 'Glass']",['Stove'],153.2
normal,female,vegetarian,more frequently,coal,public,,never,185,frequently,996,extra large,5,18,31,17,Sometimes,"['Glass', 'Metal']",['Oven'],230.6
overweight,male,omnivore,daily,wood,public,,sometimes,298,never,1993,large,4,23,38,17,Sometimes,[],['Oven'],243
normal,female,vegan,less frequently,wood,walk/bicycle,,sometimes,124,rarely,80,small,4,3,26,5,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",84.6
normal,female,pescatarian,less frequently,electricity,private,petrol,sometimes,228,never,6574,extra large,5,19,23,1,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",326.3
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,235,very frequently,2,extra large,6,11,15,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],242.4
overweight,male,pescatarian,twice a day,electricity,public,,never,80,never,1697,small,5,20,35,4,Yes,"['Plastic', 'Glass']",['Microwave'],117.1
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,,never,202,rarely,20,large,2,14,47,18,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",128.9
normal,female,omnivore,more frequently,coal,private,lpg,sometimes,218,rarely,8770,small,1,19,36,16,Sometimes,['Plastic'],['Stove'],371.6
normal,male,omnivore,twice a day,coal,public,,often,145,very frequently,111,small,7,4,31,6,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",296.7
overweight,female,vegan,more frequently,coal,public,,sometimes,131,very frequently,74,small,7,13,19,12,Yes,"['Paper', 'Plastic']","['Stove', 'Oven']",245.7
obese,male,pescatarian,less frequently,wood,walk/bicycle,,often,204,never,41,extra large,6,16,46,20,No,"['Plastic', 'Metal']",['Oven'],284.5
overweight,male,omnivore,less frequently,wood,private,diesel,never,163,very frequently,8194,small,6,21,21,14,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",479
underweight,female,pescatarian,less frequently,coal,public,,often,287,very frequently,203,medium,5,17,10,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",217.9
obese,male,omnivore,twice a day,natural gas,private,lpg,never,213,rarely,5074,extra large,7,3,44,8,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",462.2
obese,male,omnivore,more frequently,coal,walk/bicycle,,often,233,never,20,small,1,11,20,2,Yes,['Plastic'],"['Stove', 'Microwave']",196.4
underweight,male,vegetarian,daily,natural gas,public,,often,144,never,551,medium,6,3,13,4,Yes,[],"['Stove', 'Grill', 'Airfryer']",135.1
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,never,245,rarely,86,small,4,16,7,16,Sometimes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",112.5
obese,male,omnivore,twice a day,coal,private,petrol,never,150,frequently,8922,small,4,23,49,12,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",703.3
underweight,female,vegetarian,twice a day,coal,public,,sometimes,154,rarely,1412,medium,1,5,46,5,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",159.1
normal,female,vegan,daily,coal,public,,never,60,frequently,616,large,3,4,18,8,No,['Glass'],"['Grill', 'Airfryer']",171.1
underweight,male,vegan,daily,electricity,public,,often,73,frequently,998,large,3,8,1,0,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",109.5
underweight,male,vegan,twice a day,electricity,private,hybrid,often,182,very frequently,2791,medium,5,6,41,8,No,['Plastic'],"['Stove', 'Oven']",332.6
